Titre,Année de sortie,Temps du film,Genres,Note du film
The Shawshank Redemption,1994,142,Drama,9.3
The Lord of the Rings: The Return of the King,2003,201,"Action,Adventure,Drama",9.0
Schindler's List,1993,195,"Biography,Drama,History",9.0
The Dark Knight,2008,152,"Action,Crime,Drama",9.0
Pulp Fiction,1994,154,"Crime,Drama",8.9
David Attenborough: A Life on Our Planet,2020,83,"Biography,Documentary",8.9
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,87,"Action,Animation,Fantasy",8.9
Rocketry: The Nambi Effect,2022,157,"Biography,Drama",8.8
#Home,2021,158,Drama,8.8
Inception,2010,148,"Action,Adventure,Sci-Fi",8.8
